issueType,_id,uuid,name,missingName,missingDescription,missingIngredients,missingInstructions,dietaryRestrictions,tags
veg-nonveg-conflict,69905e95b76bd824d7fb9e22,1108,Boiled Egg White And Vegetable Salad,false,false,false,false,"[""Vegetarian"",""Non-Vegetarian"",""Dairy-Free"",""Low-Carb"",""Low-Fat"",""High-Protein""]",[]
veg-nonveg-conflict,69905f32b76bd824d7fb9f27,1118,Whole Wheat Banana Pancake,false,false,false,false,"[""Vegetarian""]",[]
veg-nonveg-conflict,69906145b76bd824d7fba48d,1180,Egg White With Sprouts,false,false,false,false,"[""Vegetarian"",""High-Protein""]",[]
veg-nonveg-conflict,69906158b76bd824d7fba4c9,1189,Two Egg White Bhurji,false,false,false,false,"[""Vegetarian"",""High-Protein"",""Low-Fat""]",[]
veg-nonveg-conflict,6990617fb76bd824d7fba543,1209,Mixed Vegetable Soup With Egg White,false,false,false,false,"[""Vegetarian"",""Low-Fat"",""High-Protein""]",[]
veg-nonveg-conflict,69906251b76bd824d7fba6e5,1273,Brown Bread Scrambled Egg White Tomato Cucumber Sandwich,false,false,false,false,"[""Vegetarian"",""High-Protein""]",[]
veg-nonveg-conflict,6990628cb76bd824d7fba763,1296,Egg White Bhurji With Capsicum Onion,false,false,false,false,"[""Vegetarian"",""High-Protein""]",[]
veg-nonveg-conflict,6990632ab76bd824d7fba881,1331,Egg Omelette,false,false,false,false,"[""Vegetarian"",""High-Protein""]",[]
veg-nonveg-conflict,69906336b76bd824d7fba89d,1336,Egg Spinach Omellete,false,false,false,false,"[""Vegetarian"",""High-Protein""]",[]
veg-nonveg-conflict,699063a7b76bd824d7fbaa84,1350,Whole Wheat Bread Egg White Omellete Sandwich,false,false,false,false,"[""Vegetarian"",""High-Protein""]",[]
veg-nonveg-conflict,699064f8b76bd824d7fbae0d,1411,Boiled Egg White Salad With Cucumber Potato,false,false,false,false,"[""Vegetarian"",""High-Protein""]",[]
veg-nonveg-conflict,69906502b76bd824d7fbae2b,1416,Egg Chapati Without Oil,false,false,false,false,"[""Vegetarian"",""High-Protein""]",[]
veg-nonveg-conflict,6990657db76bd824d7fbaf00,1449,Vegetable Omelette,false,false,false,false,"[""Vegetarian""]",[]
veg-nonveg-conflict,699066a2b76bd824d7fbb1c7,1569,SPINACH CARROT EGG SOUP,false,false,false,false,"[""Vegetarian"",""Non-Vegetarian"",""Gluten-Free"",""Vegan""]",[]
veg-nonveg-conflict,69906795b76bd824d7fbb25e,1590,Egg Podimas,false,false,false,false,"[""Vegetarian""]",[]
veg-nonveg-conflict,69906833b76bd824d7fbb30c,1626,Elaneer Payasam,false,false,false,false,"[""Vegetarian""]",[]
veg-nonveg-conflict,69906a70b76bd824d7fbb657,1723,Kismur,false,false,false,false,"[""Vegetarian"",""Non-Vegetarian""]",[]
veg-nonveg-conflict,69906a87b76bd824d7fbb66f,1729,Bebinca,false,false,false,false,"[""Vegetarian""]",[]
veg-nonveg-conflict,69906c4dbd8ff2a0e78f47f8,1841,Carrot Oats Cake,false,false,false,false,"[""Vegetarian""]",[]
veg-nonveg-conflict,6990d6d5bd8ff2a0e78f500a,2084,Bone Broth,false,false,false,false,"[""Non-Vegetarian"",""Gluten-Free"",""Dairy-Free"",""Keto"",""Paleo"",""Vegetarian""]",[]
veg-nonveg-conflict,6990d746bd8ff2a0e78f506b,2102,Egg & Veg Combo,false,false,false,false,"[""Vegetarian"",""High-Protein""]",[]
